REGIONTYPE,REGION,YEAR,WEEK,PERCENTWEIGHTEDILI,PERCENTUNWEIGHTEDILI,AGE04,AGE2549,AGE2564,AGE524,AGE5064,AGE65,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
States,Louisiana,2014,1,X,8.01288,X,X,X,X,X,X,3234,61,40360
States,Maine,2014,1,X,1.12263,X,X,X,X,X,X,39,32,3474
States,Maryland,2014,1,X,3.02808,X,X,X,X,X,X,206,22,6803
States,Massachusetts,2014,1,X,1.93805,X,X,X,X,X,X,326,57,16821
States,Michigan,2014,1,X,3.56317,X,X,X,X,X,X,370,51,10384
States,Minnesota,2014,1,X,3.34739,X,X,X,X,X,X,127,20,3794
States,Mississippi,2014,1,X,7.49913,X,X,X,X,X,X,1296,42,17282
States,Missouri,2014,1,X,5.92605,X,X,X,X,X,X,351,25,5923
States,Montana,2014,1,X,2.97143,X,X,X,X,X,X,52,7,1750
States,Nebraska,2014,1,X,1.87768,X,X,X,X,X,X,35,15,1864
States,Nevada,2014,1,X,3.68822,X,X,X,X,X,X,644,43,17461
States,New Hampshire,2014,1,X,0.384212,X,X,X,X,X,X,11,27,2863
States,New Jersey,2014,1,X,3.74359,X,X,X,X,X,X,219,26,5850
States,New Mexico,2014,1,X,6.53901,X,X,X,X,X,X,642,27,9818
States,New York,2014,1,X,2.97304,X,X,X,X,X,X,258,152,8678
States,North Carolina,2014,1,X,3.91786,X,X,X,X,X,X,414,54,10567
States,North Dakota,2014,1,X,2.71769,X,X,X,X,X,X,49,11,1803
States,Ohio,2014,1,X,2.31029,X,X,X,X,X,X,239,48,10345
States,Oklahoma,2014,1,X,6.62417,X,X,X,X,X,X,239,21,3608
States,Oregon,2014,1,X,5.00275,X,X,X,X,X,X,91,17,1819
States,Pennsylvania,2014,1,X,3.24514,X,X,X,X,X,X,222,47,6841
States,Rhode Island,2014,1,X,0.77415,X,X,X,X,X,X,23,20,2971
States,South Carolina,2014,1,X,2.62621,X,X,X,X,X,X,103,15,3922
States,South Dakota,2014,1,X,2.19493,X,X,X,X,X,X,109,24,4966
States,Tennessee,2014,1,X,6.56244,X,X,X,X,X,X,361,53,5501
States,Texas,2014,1,X,9.17567,X,X,X,X,X,X,3415,121,37218
States,Utah,2014,1,X,3.5726,X,X,X,X,X,X,656,42,18362
States,Vermont,2014,1,X,4.38635,X,X,X,X,X,X,99,10,2257
States,Virginia,2014,1,X,3.88364,X,X,X,X,X,X,3040,112,78277
States,Washington,2014,1,X,2.40189,X,X,X,X,X,X,71,16,2956
States,West Virginia,2014,1,X,3.02139,X,X,X,X,X,X,370,45,12246
States,Wisconsin,2014,1,X,2.05023,X,X,X,X,X,X,40,31,1951
States,Wyoming,2014,1,X,2.4724,X,X,X,X,X,X,103,24,4166
States,Puerto Rico,2014,1,X,3.00429,X,X,X,X,X,X,21,1,699
States,Virgin Islands,2014,1,X,2.17391,X,X,X,X,X,X,8,1,368
States,New York City,2014,1,X,3.54888,X,X,X,X,X,X,2850,68,80307
States,Alabama,2014,2,X,5.12425,X,X,X,X,X,X,598,29,11670
States,Alaska,2014,2,X,3.4096,X,X,X,X,X,X,76,8,2229
States,Arizona,2014,2,X,1.98886,X,X,X,X,X,X,575,61,28911
States,Arkansas,2014,2,X,6.71369,X,X,X,X,X,X,257,18,3828
States,California,2014,2,X,4.61744,X,X,X,X,X,X,1866,138,40412
States,Colorado,2014,2,X,2.41081,X,X,X,X,X,X,571,10,23685
States,Connecticut,2014,2,X,1.40479,X,X,X,X,X,X,27,18,1922
States,Delaware,2014,2,X,2.02367,X,X,X,X,X,X,53,11,2619
